Longitude,Latitude,ID,Value,XCOORD,YCOORD
-92.627164945552366,42.495046473511749,32,50,-92.627165,42.495046
-94.054745757819205,41.948065742167422,33,52,-94.054746,41.948066
-90.508834962913269,41.665404027281966,34,49,-90.508835,41.665404
-91.255170130137273,42.210544284163099,35,49,-91.255170,42.210544
-95.547193769270265,42.600726850006481,36,53,-95.547194,42.600727
-92.469971805866365,43.308877194757628,37,49,-92.469972,43.308877
-91.934326919278291,41.308483747030479,38,51,-91.934327,41.308484
-92.859957141990421,42.161587101935844,39,51,-92.859957,42.161587
-94.51600524569109,43.341582999956948,40,51,-94.516005,43.341583
-94.150952361167455,41.086734386061948,41,53,-94.150952,41.086734
-91.273131381659539,43.256942116654422,42,48,-91.273131,43.256942
-93.944198491329288,42.292937349725051,43,52,-93.944198,42.292937
-91.357636538267727,42.808373393583814,44,49,-91.357637,42.808373
-95.777937694085949,42.425396792238189,45,53,-95.777938,42.425397
-96.603760674661373,42.775105245772025,46,54,-96.603761,42.775105
-93.424483193387672,43.373705907330482,47,50,-93.424483,43.373706
-90.423292144354107,41.85541167021659,48,49,-90.423292,41.855412
-94.890096162989124,41.046721426269229,49,54,-94.890096,41.046721
-92.909850499284531,43.218841320640898,50,50,-92.909850,43.218841
-92.286645272010063,41.094665272358831,51,51,-92.286645,41.094665
-91.79376021114129,43.251676232771793,52,49,-91.793760,43.251676
-94.742985595966971,41.533679276542273,53,53,-94.742986,41.533679
-92.521663125196312,41.253544511483732,54,51,-92.521663,41.253545
-95.416180720646935,40.86112174800801,55,55,-95.416181,40.861122
-91.372811258828207,42.917582492504813,56,48,-91.372811,42.917582
-92.256700675224252,42.919139995495279,57,49,-92.256701,42.919140
-91.676390044305435,42.622434426082144,58,49,-91.676390,42.622434
-92.448211412197409,42.586804844835406,59,50,-92.448211,42.586805
-92.79564886615097,40.979607083542035,60,52,-92.795649,40.979607
-93.035453259728271,43.065529001972365,61,50,-93.035453,43.065529
-92.574174378186399,42.885723825707913,62,50,-92.574174,42.885724
-93.688853673961148,42.839130567993877,63,51,-93.688854,42.839131
-93.307625888285486,40.89719874448906,64,52,-93.307626,40.897199
-92.099436957222011,40.935827177555126,65,51,-92.099437,40.935827
-92.821953491724599,42.618823692324995,66,50,-92.821953,42.618824
-90.355940660340622,41.71342456336032,67,49,-90.355941,41.713425
-90.705726011993406,41.989361550848791,68,49,-90.705726,41.989362
-95.437113903086555,41.147943487753771,69,54,-95.437114,41.147943
-95.986709583160163,42.927558987161156,70,53,-95.986710,42.927559
-94.926787741364507,42.15668661740326,71,53,-94.926788,42.156687
-93.101372523724265,43.317098440123743,72,50,-93.101373,43.317098
-96.159887930105256,43.152025358147768,73,53,-96.159888,43.152025
-95.115011703807326,41.577209516222553,74,54,-95.115012,41.577210
-93.511322801428676,43.384845829491042,75,50,-93.511323,43.384846
-94.93247837636315,40.79155601661158,76,54,-94.932478,40.791556
-92.027655792355418,41.177602435777274,77,51,-92.027656,41.177602
-95.94346996631468,41.759639948567099,78,54,-95.943470,41.759640
-94.395324782913505,43.288438947057244,79,51,-94.395325,43.288439
